
[Name]
pp1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Turbulence Kinetic Energy [ m^2 s^-2 ], Velocity [ m s^-1 ]
-2.00000003e-01, 1.40952483e-01, -3.36264849e-01, -2.21776306e+02, 1.24334025e+00, 4.49890671e+01
-2.00000003e-01, 1.38094708e-01, -3.34951997e-01, -2.21699356e+02, 1.22227037e+00, 4.49894600e+01
-2.00000003e-01, 1.48077145e-01, -3.10140401e-01, -2.20693848e+02, 7.95987844e-01, 4.49819221e+01
-1.99999988e-01, 1.23608284e-01, -3.07177126e-01, -2.20536957e+02, 7.75661349e-01, 4.49793434e+01
-2.00000018e-01, 9.81560498e-02, -3.01176131e-01, -2.20231522e+02, 7.29505956e-01, 4.49955750e+01
-2.00000003e-01, 9.40554664e-02, -2.76374102e-01, -2.20494659e+02, 5.53811789e-01, 4.50022583e+01
-2.00000003e-01, 1.05880223e-01, -2.85004288e-01, -2.20206482e+02, 6.04635000e-01, 4.49876137e+01
-2.00000003e-01, 1.16866946e-01, -2.93395966e-01, -2.20285583e+02, 6.56236410e-01, 4.49833565e+01
-2.00000003e-01, 1.07921802e-01, -2.90346354e-01, -2.20307831e+02, 6.44268513e-01, 4.49893227e+01
-1.99999988e-01, 1.25963137e-01, -3.00934434e-01, -2.20458115e+02, 7.04113364e-01, 4.49791603e+01
-2.00000003e-01, 1.14753164e-01, -3.37357610e-01, -2.20943359e+02, 1.27661228e+00, 4.49938583e+01
-2.00000003e-01, 9.89373848e-02, -3.53762627e-01, -2.21288696e+02, 1.98229408e+00, 4.49956017e+01
-2.00000003e-01, 1.37470126e-01, -3.38311702e-01, -2.21759079e+02, 1.29035866e+00, 4.49906502e+01
-2.00000003e-01, 1.31610215e-01, -2.84780711e-01, -2.20199127e+02, 6.08792603e-01, 4.49711952e+01
-2.00000003e-01, 1.34400740e-01, -2.97936440e-01, -2.20591522e+02, 6.84516549e-01, 4.49784966e+01
-2.00000003e-01, 1.53452232e-01, -3.13035041e-01, -2.20816559e+02, 8.30054402e-01, 4.49849091e+01
-2.00000003e-01, 1.56139836e-01, -3.15586388e-01, -2.21074539e+02, 8.79040480e-01, 4.49867706e+01
-2.00000003e-01, 1.55982509e-01, -3.12591881e-01, -2.20709167e+02, 8.23425293e-01, 4.49842529e+01
-2.00000003e-01, 1.36480689e-01, -2.75826156e-01, -2.20080475e+02, 5.53095400e-01, 4.49672050e+01
-1.99999988e-01, 1.46071032e-01, -2.89375246e-01, -2.20631866e+02, 6.26961112e-01, 4.49753838e+01
-2.00000003e-01, 1.54055491e-01, -3.10152978e-01, -2.20725403e+02, 8.01892400e-01, 4.49817085e+01
-2.00000018e-01, 1.06096610e-01, -2.59303182e-01, -2.20174347e+02, 4.74007636e-01, 4.49891205e+01
-2.00000003e-01, 1.11500233e-01, -2.56837696e-01, -2.20035995e+02, 4.64625508e-01, 4.49828796e+01
-2.00000003e-01, 1.11187920e-01, -2.55201846e-01, -2.19959915e+02, 4.56509739e-01, 4.49822845e+01
-2.00000003e-01, 1.12091936e-01, -2.55635411e-01, -2.19920364e+02, 4.57829863e-01, 4.49812927e+01
-2.00000003e-01, 1.12573229e-01, -2.55022347e-01, -2.19853821e+02, 4.56021398e-01, 4.49800529e+01
-2.00000003e-01, 1.12935096e-01, -2.56223530e-01, -2.19955017e+02, 4.60907906e-01, 4.49809761e+01
-2.00000003e-01, 1.33532882e-01, -2.71990359e-01, -2.19781464e+02, 5.32854915e-01, 4.49628525e+01
-2.00000003e-01, 1.12894490e-01, -2.81496286e-01, -2.19813538e+02, 5.83999217e-01, 4.49781609e+01
-2.00000003e-01, 1.53852031e-01, -2.77111620e-01, -2.19710648e+02, 5.53433955e-01, 4.49591446e+01
-2.00000003e-01, 1.47834674e-01, -2.73786157e-01, -2.19669250e+02, 5.36788702e-01, 4.49591484e+01
-2.00000003e-01, 1.19500935e-01, -2.50485569e-01, -2.19475754e+02, 4.43168163e-01, 4.49723816e+01
-2.00000003e-01, 1.35603145e-01, -2.50023901e-01, -2.18836441e+02, 4.51092362e-01, 4.49547577e+01
-2.00000003e-01, 1.36567011e-01, -2.40691200e-01, -2.18570862e+02, 4.16154861e-01, 4.49530220e+01
-2.00000003e-01, 1.36742532e-01, -2.69035578e-01, -2.19249069e+02, 5.21595895e-01, 4.49560852e+01
-2.00000003e-01, 1.58211514e-01, -2.48756737e-01, -2.19066132e+02, 4.42820758e-01, 4.49490891e+01
-2.00000003e-01, 1.54045865e-01, -2.72888809e-01, -2.19709000e+02, 5.32071650e-01, 4.49585915e+01
-2.00000003e-01, 1.59877121e-01, -2.46966079e-01, -2.19032684e+02, 4.35884953e-01, 4.49483986e+01
-2.00000003e-01, 2.09773052e-02, -2.03746095e-01, -2.23914429e+02, 1.46682858e+00, 4.50230713e+01
-2.00000003e-01, 2.65446194e-02, -2.02385932e-01, -2.23870407e+02, 1.20732713e+00, 4.50483894e+01
-2.00000003e-01, 2.25449521e-02, -2.05799818e-01, -2.23803268e+02, 1.33900189e+00, 4.50408211e+01
-2.00000003e-01, 2.09188946e-02, -2.07990885e-01, -2.23575134e+02, 1.44776583e+00, 4.50256271e+01
-2.00000003e-01, 3.61639187e-02, -2.13490233e-01, -2.23332092e+02, 8.85364175e-01, 4.50545921e+01
-2.00000003e-01, -5.00177220e-03, -1.62639990e-01, -2.33583527e+02, 4.77533388e+00, 0.00000000e+00
