
[Name]
inlet

[Data]
X [ m ], Y [ m ], Z [ m ]
-4.93868619e-01, 1.13664079e+00, -5.05765021e-01
-5.01739979e-01, 1.10803211e+00, -5.05765021e-01
2.70312369e-01, 4.76098925e-01, -5.05765021e-01
-6.61036000e-02, 2.75044799e-01, -5.05765021e-01
-4.73828986e-02, 2.98270106e-01, -5.05765021e-01
-3.30422595e-02, 2.74304032e-01, -5.05765021e-01
3.24587524e-01, 1.70987278e-01, -5.05765021e-01
4.30984527e-01, 9.75420892e-01, -5.05765021e-01
4.43326026e-01, 1.00398839e+00, -5.05765021e-01
3.30804177e-02, 2.72822469e-01, -5.05765021e-01
1.90797109e-05, 2.73563236e-01, -5.05765021e-01
1.53006203e-02, 2.96701401e-01, -5.05765021e-01
7.54971921e-01, 4.43344802e-01, -5.05765021e-01
7.90332377e-01, 4.50853825e-01, -5.05765021e-01
7.76899457e-01, 4.24133003e-01, -5.05765021e-01
-5.62986195e-01, 8.09684515e-01, -5.05765021e-01
7.16249496e-02, 6.72141016e-01, -5.05765021e-01
3.08667272e-01, 4.26118284e-01, -5.05765021e-01
3.63409847e-01, 1.88057646e-01, -5.05765021e-01
-6.62715971e-01, 8.00122142e-01, -5.05765021e-01
-6.91283524e-01, 8.10976326e-01, -5.05765021e-01
-6.61560237e-01, 8.30015957e-01, -5.05765021e-01
3.70241143e-02, 9.94329453e-01, -5.05765021e-01
7.38594472e-01, 6.01811469e-01, -5.05765021e-01
7.19583273e-01, 5.78252435e-01, -5.05765021e-01
7.11995125e-01, 6.08978868e-01, -5.05765021e-01
5.55024922e-01, 7.23268628e-01, -5.05765021e-01
4.08324867e-01, 2.28977889e-01, -5.05765021e-01
4.14891869e-01, 2.05717444e-01, -5.05765021e-01
3.82273912e-01, 2.10423514e-01, -5.05765021e-01
9.82027873e-02, 7.66729355e-01, -5.05765021e-01
5.77748954e-01, 1.08614421e+00, -5.05765021e-01
5.80648720e-01, 1.11390126e+00, -5.05765021e-01
6.06689930e-01, 1.09463143e+00, -5.05765021e-01
-4.43271995e-01, 9.98448491e-01, -5.05765021e-01
-5.09966791e-01, 5.18200338e-01, -5.05765021e-01
2.03351185e-01, 2.91995347e-01, -5.05765021e-01
2.17237592e-01, 2.68465012e-01, -5.05765021e-01
1.83287889e-01, 2.66763538e-01, -5.05765021e-01
2.83035815e-01, 2.66896337e-01, -5.05765021e-01
2.50136703e-01, 2.67680675e-01, -5.05765021e-01
2.66034693e-01, 2.90426672e-01, -5.05765021e-01
-4.75730181e-01, 5.67638397e-01, -5.05765021e-01
-1.04572415e-01, 6.79287255e-01, -5.05765021e-01
-3.65119755e-01, 3.15577835e-01, -5.05765021e-01
-3.85806978e-01, 2.98268437e-01, -5.05765021e-01
-3.85808587e-01, 3.32306594e-01, -5.05765021e-01
4.09441143e-01, 8.33596960e-02, -5.05765021e-01
4.00225461e-01, 5.93346134e-02, -5.05765021e-01
3.83292884e-01, 8.34714621e-02, -5.05765021e-01
-1.43289983e-01, 6.32400870e-01, -5.05765021e-01
5.01797855e-01, 2.72837400e-01, -5.05765021e-01
4.16649163e-01, 9.99648929e-01, -5.05765021e-01
4.26866025e-01, 1.03051662e+00, -5.05765021e-01
-5.84800005e-01, 8.32670212e-01, -5.05765021e-01
-1.33253694e-01, 6.07650459e-01, -5.05765021e-01
-3.97874177e-01, 9.12237585e-01, -5.05765021e-01
-4.16153342e-01, 8.89996171e-01, -5.05765021e-01
-4.27101791e-01, 9.13942933e-01, -5.05765021e-01
-5.43438375e-01, 2.63934672e-01, -5.05765021e-01
-7.98238695e-01, 4.49387163e-01, -5.05765021e-01
-7.87818432e-01, 4.76839215e-01, -5.05765021e-01
-7.66311705e-01, 4.63744938e-01, -5.05765021e-01
1.69154271e-01, 9.65224445e-01, -5.05765021e-01
5.80430515e-02, 2.01992139e-01, -5.05765021e-01
6.86400160e-02, 2.25064605e-01, -5.05765021e-01
8.38016942e-02, 2.03067869e-01, -5.05765021e-01
7.35259801e-02, 1.78878665e-01, -5.05765021e-01
3.17557186e-01, 8.79207969e-01, -5.05765021e-01
-7.21467316e-01, 9.03636038e-01, -5.05765021e-01
-7.46568203e-01, 8.98107469e-01, -5.05765021e-01
-7.39230752e-01, 9.19651985e-01, -5.05765021e-01
-6.82449281e-01, 7.79199421e-01, -5.05765021e-01
-6.46194458e-01, 9.22790244e-02, -5.05765021e-01
-6.21657372e-01, 1.06890038e-01, -5.05765021e-01
-6.16671503e-01, 7.88806826e-02, -5.05765021e-01
2.79878885e-01, 5.12971044e-01, -5.05765021e-01
3.03766757e-01, 5.19932508e-01, -5.05765021e-01
-4.67183590e-01, 3.98932397e-02, -5.05765021e-01
-4.89771932e-01, 5.30847982e-02, -5.05765021e-01
-4.72489417e-01, 7.26490170e-02, -5.05765021e-01
-4.38580930e-01, 4.11519200e-01, -5.05765021e-01
-2.79212415e-01, 6.74985051e-02, -5.05765021e-01
-3.02267492e-01, 9.19762775e-02, -5.05765021e-01
-2.73772776e-01, 9.75039527e-02, -5.05765021e-01
6.80864811e-01, 1.63671970e-01, -5.05765021e-01
6.56174719e-01, 1.83022544e-01, -5.05765021e-01
-5.92018962e-01, 8.04183245e-01, -5.05765021e-01
-4.66407567e-01, 3.95795465e-01, -5.05765021e-01
-4.95044708e-01, 4.10391659e-01, -5.05765021e-01
6.57930255e-01, 7.38469601e-01, -5.05765021e-01
6.50052667e-01, 7.63510168e-01, -5.05765021e-01
6.83109045e-01, 7.58812487e-01, -5.05765021e-01
3.81451994e-01, 6.03815913e-01, -5.05765021e-01
-5.10111868e-01, 6.71487391e-01, -5.05765021e-01
7.59283543e-01, 6.27520502e-01, -5.05765021e-01
7.65566587e-01, 6.60728037e-01, -5.05765021e-01
7.90615141e-01, 6.47864461e-01, -5.05765021e-01
7.09621191e-01, 8.14368844e-01, -5.05765021e-01
3.35163951e-01, 5.14574885e-01, -5.05765021e-01
3.15625161e-01, 4.95463967e-01, -5.05765021e-01
5.45712233e-01, 1.90332353e-01, -5.05765021e-01
-1.60411391e-02, 2.97485769e-01, -5.05765021e-01
-5.60574472e-01, 4.82678235e-01, -5.05765021e-01
9.47040841e-02, 1.53631166e-01, -5.05765021e-01
-4.04580057e-01, 2.15141401e-01, -5.05765021e-01
-4.28152680e-01, 2.31597185e-01, -5.05765021e-01
-4.09104615e-01, 2.41693437e-01, -5.05765021e-01
4.66423817e-02, 2.95917064e-01, -5.05765021e-01
2.46978745e-01, 6.63426042e-01, -5.05765021e-01
-4.84245718e-01, 1.07016122e+00, -5.05765021e-01
-4.56784099e-01, 1.06016552e+00, -5.05765021e-01
-4.80725557e-01, 1.03868580e+00, -5.05765021e-01
-7.18819022e-01, 1.12293296e-01, -5.05765021e-01
-7.16723084e-01, 8.58151540e-02, -5.05765021e-01
-7.42001295e-01, 9.48573723e-02, -5.05765021e-01
7.49350548e-01, 4.16948229e-01, -5.05765021e-01
7.44600832e-01, 1.05408049e+00, -5.05765021e-01
7.20820427e-01, 1.04034221e+00, -5.05765021e-01
7.19528437e-01, 1.06865466e+00, -5.05765021e-01
1.72009423e-01, 2.92779684e-01, -5.05765021e-01
2.34692946e-01, 2.91211009e-01, -5.05765021e-01
2.97376454e-01, 2.89642304e-01, -5.05765021e-01
1.23133510e-01, 4.99055445e-01, -5.05765021e-01
7.21478105e-01, 4.06150579e-01, -5.05765021e-01
6.94588423e-01, 4.19930667e-01, -5.05765021e-01
7.23399460e-01, 4.33525980e-01, -5.05765021e-01
4.56421316e-01, 1.08418334e+00, -5.05765021e-01
4.41339284e-01, 1.11171734e+00, -5.05765021e-01
4.69009906e-01, 1.11137390e+00, -5.05765021e-01
-6.29095495e-01, 1.34748682e-01, -5.05765021e-01
-5.97796082e-01, 1.22759506e-01, -5.05765021e-01
4.14127201e-01, 1.11218083e+00, -5.05765021e-01
4.28325891e-01, 1.13889623e+00, -5.05765021e-01
-6.09196723e-01, 1.70134276e-01, -5.05765021e-01
-6.03747785e-01, 2.02580079e-01, -5.05765021e-01
-5.86962998e-01, 1.75738052e-01, -5.05765021e-01
5.68750918e-01, 5.08888423e-01, -5.05765021e-01
3.40398401e-01, 9.94245172e-01, -5.05765021e-01
3.63796800e-01, 1.00248659e+00, -5.05765021e-01
3.65639031e-01, 9.79178011e-01, -5.05765021e-01
-7.33613849e-01, 3.74787271e-01, -5.05765021e-01
4.21597123e-01, 2.86243498e-01, -5.05765021e-01
2.05618948e-01, 9.17824686e-01, -5.05765021e-01
6.35942996e-01, 7.89542913e-01, -5.05765021e-01
6.26668155e-01, 1.87504441e-01, -5.05765021e-01
6.39944553e-01, 2.08588347e-01, -5.05765021e-01
9.21842083e-02, 8.24058950e-02, -5.05765021e-01
6.05567470e-02, 8.26887265e-02, -5.05765021e-01
