
[Name]
Plane 3

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Turbulence Kinetic Energy [ m^2 s^-2 ], Velocity [ m s^-1 ]
-2.00000003e-01, 1.22994734e-02, -3.86479683e-02, 9.71644516e+01, 1.78380060e+00, 2.07424049e+01
-2.00000003e-01, 3.28681022e-02, -7.92864710e-02, 1.01995819e+02, 1.07045603e+00, 3.00797806e+01
-2.00000018e-01, 1.22939516e-02, -5.49904034e-02, 9.95715637e+01, 1.48297548e+00, 2.07343960e+01
-2.00000003e-01, 2.84552500e-02, -1.06666051e-01, 1.05121292e+02, 1.32517552e+00, 2.98547821e+01
-1.99999988e-01, 1.31673804e-02, -9.20086280e-02, 1.03699799e+02, 1.64902592e+00, 2.30954266e+01
-2.00000003e-01, 4.45398577e-02, -1.16984941e-01, 1.07464874e+02, 8.63845706e-01, 3.00899582e+01
-2.00000003e-01, 5.67871220e-02, -1.29073605e-01, 1.11936989e+02, 6.17313862e-01, 3.00138664e+01
-2.00000003e-01, 5.24638072e-02, -1.21212192e-01, 1.07991821e+02, 6.24707699e-01, 3.01422653e+01
-2.00000003e-01, 5.50194010e-02, -1.19991705e-01, 1.04661568e+02, 6.40857339e-01, 3.02125511e+01
-2.00000003e-01, 5.40320091e-02, -8.89987126e-02, 9.56440125e+01, 5.78333259e-01, 3.05347252e+01
-2.00000003e-01, 7.22584873e-02, -1.15252577e-01, 9.84517517e+01, 2.54402518e-01, 3.04705791e+01
-2.00000003e-01, 1.30754486e-01, -1.26351357e-01, 1.08436516e+02, 1.17005169e-01, 3.01914158e+01
-2.00000003e-01, 9.51701105e-02, -1.26066983e-01, 1.09752197e+02, 4.79917109e-01, 3.00864773e+01
-1.99999988e-01, 1.45714097e-02, -1.79136135e-02, 8.75669708e+01, 3.07993317e+00, 2.92889290e+01
-2.00000003e-01, 1.90213233e-01, -1.07724532e-01, 1.08753372e+02, 1.06343463e-01, 3.01650829e+01
-2.00000003e-01, 1.55768752e-01, -8.71295482e-02, 9.82519226e+01, 2.47888297e-01, 3.04523087e+01
-2.00000003e-01, 2.12351203e-01, -7.16706365e-02, 7.41539917e+01, 1.07178956e-01, 3.09463463e+01
-1.99999988e-01, 7.82022253e-02, 6.94396421e-02, 1.63657822e+02, 1.62581873e+00, 1.07396908e+01
-2.00000003e-01, 5.62745072e-02, 7.57085904e-02, 1.13108093e+02, 6.40649109e+01, 1.05427942e+01
-2.00000018e-01, 7.77605250e-02, 7.35163912e-02, 2.59092712e+01, 1.19861436e+00, 1.05742941e+01
-2.00000003e-01, 1.35362864e-01, 1.95026964e-01, 6.11342316e+01, 1.06286895e+00, 2.25085068e+01
-2.00000003e-01, 1.34759396e-01, 1.96005046e-01, -1.02337050e+00, 8.71819675e-01, 2.23502750e+01
-2.00000003e-01, 6.24328181e-02, 1.57445356e-01, 4.07978149e+02, 6.40138686e-01, 1.60562954e+01
-1.99999973e-01, 1.84348881e-01, -6.11340404e-02, 5.55900650e+01, 1.35189131e-01, 3.14124641e+01
-2.00000003e-01, 7.11159408e-02, -8.77202079e-02, 9.65219345e+01, 4.06820297e-01, 3.05777855e+01
-2.00000003e-01, 1.48860961e-01, 1.12657957e-01, -3.91403580e+01, 1.92685795e+00, 2.65174332e+01
